proto_101.erl	10101	创建角色
proto_101.erl	10102	登录指定角色
proto_101.erl	10103	角色重连
proto_102.erl	10200	操作地图单位
proto_102.erl	10201	请求进入指定场景
proto_102.erl	10210	服务端通知地图切换
proto_102.erl	10211	(无标题)
proto_102.erl	10213	(无标题)
proto_102.erl	10214	(无标题)
proto_102.erl	10215	角色移动事件
proto_102.erl	10216	(无标题)
proto_102.erl	10217	(无标题)
proto_102.erl	10219	(无标题)
proto_102.erl	10220	(无标题)
proto_102.erl	10222	(无标题)
proto_102.erl	10250	(无标题)
proto_102.erl	10260	(无标题)
proto_102.erl	10262	单位离开地图事件
proto_102.erl	10264	单位移动事件
proto_102.erl	10265	单位场景说话
proto_102.erl	10266	(无标题)
proto_103.erl	10300	客户端初始化完毕
proto_103.erl	10301	获取角色基础信息
proto_103.erl	10302	角色资产信息
proto_103.erl	10304	显示主场景
proto_103.erl	10305	角色资产信息更新某几个
proto_103.erl	10306	(无标题)
proto_103.erl	10307	(无标题)
proto_103.erl	10309	个人签名修改
proto_103.erl	10310	掉线提示
proto_103.erl	10312	角色强制下线
proto_103.erl	10315	查看角色信息
proto_103.erl	10316	膜拜目标
proto_103.erl	10317	自己被膜拜次数
proto_103.erl	10318	设置自动PK验证
proto_103.erl	10319	自己跨服冠军赛被膜拜次数
proto_103.erl	10320	自己巅峰冠军赛被膜拜次数
proto_103.erl	10322	设置系统配置
proto_103.erl	10323	获取系统设置
proto_103.erl	10325	头像列表
proto_103.erl	10327	设置头像
proto_103.erl	10328	空间背景列表
proto_103.erl	10329	设置空间背景
proto_103.erl	10342	(无标题)
proto_103.erl	10343	个人改名
proto_103.erl	10344	(无标题)
proto_103.erl	10345	形象信息
proto_103.erl	10346	形象使用
proto_103.erl	10347	形象激活
proto_103.erl	10348	(无标题)
proto_103.erl	10350	活动资产道具
proto_103.erl	10351	角色活动资产信息更新某几个
proto_103.erl	10380	注册时间与开服时间
proto_103.erl	10391	客户端动态调用
proto_103.erl	10392	文件内容
proto_103.erl	10394	服务端通知游客模式超时（游客模式）
proto_103.erl	10395	客户端通知查验身份认证（防沉迷）
proto_103.erl	10396	强制关闭客户端
proto_103.erl	10397	客户端进入后台
proto_103.erl	10399	GM命令
proto_104.erl	10400	已接任务面板
proto_104.erl	10402	(无标题)
proto_104.erl	10403	(无标题)
proto_104.erl	10404	(无标题)
proto_104.erl	10405	(无标题)
proto_104.erl	10406	(无标题)
proto_104.erl	10407	(无标题)
proto_104.erl	10408	(无标题)
proto_104.erl	10409	(无标题)
proto_105.erl	10500	(无标题)
proto_105.erl	10501	(无标题)
proto_105.erl	10502	(无标题)
proto_105.erl	10503	(无标题)
proto_105.erl	10510	(无标题)
proto_105.erl	10511	(无标题)
proto_105.erl	10512	(无标题)
proto_105.erl	10515	使用道具
proto_105.erl	10520	删除物品
proto_105.erl	10521	请求出售获得
proto_105.erl	10522	出售物品到系统
proto_105.erl	10523	合成
proto_105.erl	10524	自动出售设置
proto_105.erl	10525	获取自动出售设置
proto_105.erl	10526	存储空间扩容
proto_105.erl	10528	装备产出效率
proto_105.erl	10530	(无标题)
proto_105.erl	10535	分享物品
proto_105.erl	10536	查看分享物品
proto_108.erl	10800	读取邮件列表
proto_108.erl	10801	提取单个邮件的附件
proto_108.erl	10802	一键提取附件
proto_108.erl	10803	新邮件推送
proto_108.erl	10804	删除没有附件的邮件
proto_108.erl	10805	读取邮件
proto_108.erl	10806	获取指定邮件详细内容
proto_108.erl	10810	客服反馈
proto_108.erl	10811	评价客服反馈
proto_108.erl	10812	客服反馈状态
